    Og(K_GR_I)  v+/c  Og(K_GR_II)   v+/c    Z_bw     Z_fw      d_%      v-/c
 --------------------------------------------------------------------------------------
   8   2676.06 0.151    2446.27    0.138   0.1772  -0.1072   0.69E-05 -0.153E+00
   9   2994.22 0.165    2654.31    0.146   0.1932  -0.1099   0.57E-05 -0.168E+00
  10   3307.27 0.179    2835.23    0.154   0.2090  -0.1113   0.11E-04 -0.183E+00
  11   3594.03 0.193    3149.01    0.170   0.2353  -0.1194   0.20E-04 -0.198E+00
  12   3885.36 0.206    3414.39    0.183   0.2600  -0.1247   0.97E-05 -0.214E+00
  13   4129.58 0.220    3612.27    0.194   0.2826  -0.1282   0.38E-05 -0.229E+00
  14   4376.66 0.233    3870.69    0.208   0.3107  -0.1340   0.22E-05 -0.245E+00
  15   4609.60 0.246    4121.30    0.223   0.3399  -0.1397   0.83E-05 -0.260E+00
  16   4822.01 0.258    4353.76    0.237   0.3697  -0.1449   0.11E-04 -0.276E+00
  17   5028.70 0.271    4590.93    0.252   0.4013  -0.1504   0.66E-05 -0.292E+00
  18   5218.07 0.283    4803.14    0.266   0.4328  -0.1551   0.82E-05 -0.307E+00
  19   5400.73 0.295    5016.34    0.280   0.4657  -0.1599   0.96E-05 -0.323E+00
  20   5574.61 0.306    5222.49    0.295   0.4995  -0.1646   0.54E-05 -0.339E+00
  21   5898.75 0.329    5611.79    0.323   0.5687  -0.1733   0.89E-05 -0.370E+00
  22   6194.77 0.349    5970.66    0.350   0.6395  -0.1811   0.63E-05 -0.401E+00
  23   6470.51 0.369    6307.73    0.376   0.7121  -0.1883   0.63E-05 -0.432E+00
  24   6727.74 0.387    6621.26    0.401   0.7854  -0.1948   0.32E-05 -0.462E+00
  25   6941.54 0.403    6879.99    0.422   0.8501  -0.2000   0.36E-04 -0.489E+00
  26   7115.77 0.415    7088.85    0.438   0.9046  -0.2040   0.27E-04 -0.511E+00
  27   7283.32 0.426    7287.60    0.454   0.9577  -0.2076   0.21E-04 -0.532E+00
  28   7444.99 0.437    7477.44    0.469   1.0096  -0.2109   0.14E-04 -0.552E+00
  29   7591.93 0.446    7648.05    0.482   1.0569  -0.2137   0.96E-05 -0.571E+00
  30   7730.59 0.454    7807.54    0.494   1.1016  -0.2162   0.83E-05 -0.588E+00
  31   7865.04 0.462    7960.79    0.505   1.1447  -0.2184   0.56E-05 -0.605E+00
  32   7995.55 0.470    8108.23    0.516   1.1862  -0.2204   0.34E-05 -0.621E+00
  33   8123.21 0.477    8251.35    0.525   1.2266  -0.2223   0.21E-05 -0.637E+00
  34   8247.26 0.484    8389.41    0.535   1.2655  -0.2239   0.20E-05 -0.652E+00
  35   8359.25 0.489    8513.17    0.543   1.3004  -0.2253   0.21E-06 -0.666E+00
  36   8462.19 0.495    8626.13    0.550   1.3320  -0.2265   0.70E-07 -0.678E+00
  37   8698.20 0.506    8882.68    0.566   1.4024  -0.2288   0.21E-05 -0.706E+00
  38   8910.80 0.515    9111.38    0.578   1.4631  -0.2305   0.80E-06 -0.729E+00
  39   9104.36 0.523    9316.96    0.589   1.5152  -0.2317   0.43E-04 -0.750E+00
  40   9282.71 0.530    9504.26    0.598   1.5599  -0.2325   0.22E-05 -0.768E+00
  41   9448.56 0.536    9677.82    0.605   1.5996  -0.2331   0.15E-05 -0.784E+00
  42   9603.92 0.541    9839.52    0.612   1.6347  -0.2335   0.13E-05 -0.798E+00
  43   9751.17 0.545    9992.12    0.618   1.6661  -0.2338   0.67E-06 -0.811E+00
  44   9892.95 0.550   10138.52    0.623   1.6946  -0.2339   0.24E-06 -0.822E+00
  45  10168.02 0.557   10421.32    0.632   1.7456  -0.2341   0.15E-05 -0.843E+00
  46  10397.79 0.562   10656.66    0.638   1.7844  -0.2341   0.26E-05 -0.859E+00
  47  10580.07 0.566   10842.94    0.643   1.8122  -0.2341   0.33E-05 -0.871E+00
