     e_c            e_c/e_0     M_gr   M_by   M_pr     R (km)   lg A_s   lg I/(g cm2)
 --------------------------------------------------------------------------------------
   8 0.160000E+03  0.114286E+01  0.247  0.251  0.254    13.949  56.473866 44.149849
   9 0.170000E+03  0.121429E+01  0.284  0.290  0.293    13.454  56.536495 44.232983
  10 0.180000E+03  0.128571E+01  0.325  0.332  0.337    13.119  56.596191 44.313133
  11 0.190000E+03  0.135714E+01  0.369  0.379  0.384    12.894  56.652817 44.389805
  12 0.200000E+03  0.142857E+01  0.416  0.428  0.434    12.746  56.706322 44.462666
  13 0.210000E+03  0.150000E+01  0.466  0.481  0.488    12.653  56.756741 44.531590
  14 0.220000E+03  0.157143E+01  0.517  0.536  0.545    12.599  56.804150 44.596531
  15 0.230000E+03  0.164286E+01  0.571  0.594  0.604    12.573  56.848663 44.657532
  16 0.240000E+03  0.171429E+01  0.626  0.654  0.666    12.566  56.890404 44.714729
  17 0.250000E+03  0.178571E+01  0.682  0.716  0.729    12.574  56.929504 44.768242
  18 0.260000E+03  0.185714E+01  0.740  0.779  0.795    12.590  56.966320 44.818539
  19 0.270000E+03  0.192857E+01  0.798  0.844  0.861    12.613  57.000927 44.865692
  20 0.280000E+03  0.200000E+01  0.856  0.909  0.929    12.639  57.033260 44.909611
  21 0.300000E+03  0.214286E+01  0.971  1.040  1.065    12.694  57.091675 44.988533
  22 0.320000E+03  0.228571E+01  1.083  1.169  1.200    12.746  57.142643 45.056728
  23 0.340000E+03  0.242857E+01  1.191  1.296  1.334    12.789  57.187428 45.116020
  24 0.360000E+03  0.257143E+01  1.294  1.419  1.463    12.823  57.226624 45.167278
  25 0.380000E+03  0.271429E+01  1.379  1.522  1.573    12.843  57.257187 45.206352
  26 0.400000E+03  0.285714E+01  1.447  1.606  1.663    12.851  57.280392 45.235794
  27 0.420000E+03  0.300000E+01  1.510  1.684  1.747    12.849  57.301010 45.261238
  28 0.440000E+03  0.314286E+01  1.568  1.757  1.826    12.839  57.319393 45.283302
  29 0.460000E+03  0.328571E+01  1.618  1.820  1.896    12.822  57.334827 45.301277
  30 0.480000E+03  0.342857E+01  1.663  1.878  1.959    12.801  57.348324 45.316463
  31 0.500000E+03  0.357143E+01  1.704  1.931  2.019    12.773  57.360409 45.329567
  32 0.520000E+03  0.371429E+01  1.742  1.980  2.074    12.742  57.371281 45.340881
  33 0.540000E+03  0.385714E+01  1.777  2.025  2.126    12.707  57.381111 45.350674
  34 0.560000E+03  0.400000E+01  1.808  2.067  2.174    12.669  57.389988 45.359108
  35 0.580000E+03  0.414286E+01  1.835  2.103  2.216    12.631  57.397446 45.365852
  36 0.600000E+03  0.428571E+01  1.858  2.134  2.253    12.594  57.403824 45.371292
  37 0.650000E+03  0.464286E+01  1.906  2.198  2.331    12.499  57.416748 45.381008
  38 0.700000E+03  0.500000E+01  1.942  2.248  2.394    12.403  57.426422 45.391052
  39 0.750000E+03  0.535714E+01  1.970  2.286  2.444    12.307  57.433708 45.393139
  40 0.800000E+03  0.571429E+01  1.991  2.315  2.485    12.212  57.439198 45.389778
  41 0.850000E+03  0.607143E+01  2.006  2.337  2.518    12.119  57.443329 45.388676
  42 0.900000E+03  0.642857E+01  2.018  2.354  2.545    12.027  57.446404 45.386356
  43 0.950000E+03  0.678571E+01  2.027  2.366  2.568    11.938  57.448650 45.383099
  44 0.100000E+04  0.714286E+01  2.033  2.375  2.587    11.849  57.450245 45.379074
  45 0.110000E+04  0.785714E+01  2.039  2.384  2.616    11.671  57.451931 45.369118
  46 0.120000E+04  0.857143E+01  2.040  2.385  2.634    11.519  57.452114 45.358898
  47 0.130000E+04  0.928571E+01  2.037  2.381  2.644    11.395  57.451389 45.349403
