Og(K_GR_I)  v+/c  Og(K_GR_II)   v+/c    Z_bw     Z_fw      d_%      v-/c
 --------------------------------------------------------------------------------------
   7   2329.04 0.137    2129.73    0.125   0.1568  -0.1000   0.88E-05 -0.138E+00
   8   2677.00 0.151    2369.00    0.134   0.1723  -0.1034   0.43E-04 -0.153E+00
   9   2910.37 0.163    2432.62    0.137   0.1806  -0.1018   0.21E-04 -0.166E+00
  10   3288.50 0.178    2822.47    0.154   0.2084  -0.1112   0.22E-04 -0.183E+00
  11   3582.37 0.192    3103.54    0.167   0.2326  -0.1177   0.20E-04 -0.198E+00
  12   3871.87 0.206    3365.82    0.181   0.2571  -0.1230   0.30E-05 -0.214E+00
  13   4139.35 0.220    3644.56    0.195   0.2846  -0.1294   0.81E-05 -0.229E+00
  14   4381.11 0.233    3887.31    0.209   0.3118  -0.1347   0.15E-05 -0.245E+00
  15   4608.61 0.246    4118.59    0.223   0.3398  -0.1396   0.38E-05 -0.260E+00
  16   4826.65 0.259    4360.22    0.237   0.3701  -0.1451   0.67E-05 -0.276E+00
  17   5028.54 0.271    4588.76    0.252   0.4012  -0.1503   0.43E-05 -0.292E+00
  18   5217.88 0.283    4803.08    0.266   0.4328  -0.1551   0.68E-05 -0.307E+00
  19   5400.61 0.295    5017.04    0.280   0.4658  -0.1600   0.92E-05 -0.323E+00
  20   5574.47 0.306    5222.67    0.295   0.4995  -0.1646   0.38E-05 -0.339E+00
  21   5898.28 0.329    5610.99    0.323   0.5687  -0.1732   0.84E-05 -0.370E+00
  22   6195.01 0.349    5972.16    0.350   0.6397  -0.1811   0.59E-05 -0.401E+00
  23   6440.09 0.367    6270.68    0.373   0.7038  -0.1875   0.32E-05 -0.428E+00
  24   6594.17 0.378    6457.40    0.387   0.7458  -0.1914   0.35E-04 -0.446E+00
  25   6730.91 0.387    6621.42    0.400   0.7831  -0.1946   0.32E-04 -0.462E+00
  26   6865.49 0.396    6781.47    0.412   0.8196  -0.1976   0.24E-04 -0.477E+00
  27   6999.04 0.404    6939.29    0.423   0.8555  -0.2005   0.23E-04 -0.492E+00
  28   7133.31 0.412    7096.62    0.434   0.8912  -0.2032   0.21E-04 -0.506E+00
  29   7269.00 0.420    7254.32    0.445   0.9271  -0.2058   0.15E-04 -0.521E+00
  30   7405.59 0.428    7412.21    0.456   0.9631  -0.2083   0.14E-04 -0.535E+00
  31   7544.14 0.436    7571.45    0.466   0.9996  -0.2107   0.99E-05 -0.550E+00
  32   7682.87 0.443    7729.93    0.476   1.0361  -0.2130   0.88E-05 -0.564E+00
  33   7822.49 0.450    7888.58    0.487   1.0729  -0.2152   0.71E-05 -0.579E+00
  34   7961.61 0.458    8045.71    0.496   1.1097  -0.2172   0.52E-05 -0.593E+00
  35   8100.94 0.464    8202.40    0.506   1.1468  -0.2192   0.32E-05 -0.608E+00
  36   8238.22 0.471    8355.84    0.515   1.1835  -0.2210   0.30E-05 -0.622E+00
  37   8576.45 0.487    8730.74    0.537   1.2748  -0.2251   0.14E-06 -0.658E+00
  38   8899.79 0.501    9084.63    0.557   1.3630  -0.2284   0.25E-05 -0.692E+00
  39   9204.93 0.514    9415.44    0.575   1.4474  -0.2311   0.40E-04 -0.724E+00
  40   9468.07 0.525    9696.09    0.590   1.5191  -0.2328   0.25E-05 -0.752E+00
  41   9678.90 0.533    9919.46    0.601   1.5760  -0.2340   0.15E-05 -0.774E+00
  42   9866.78 0.540   10116.76    0.610   1.6251  -0.2347   0.13E-05 -0.793E+00
  43  10022.48 0.545   10279.11    0.617   1.6642  -0.2352   0.00E+00 -0.808E+00
  44  10130.70 0.549   10391.37    0.622   1.6901  -0.2354   0.47E-06 -0.818E+00
  45  10293.67 0.554   10559.34    0.628   1.7257  -0.2356   0.81E-06 -0.833E+00
  46  10412.00 0.557   10680.58    0.632   1.7478  -0.2356   0.92E-06 -0.842E+00
  47  10512.14 0.559   10782.71    0.635   1.7632  -0.2356   0.15E-05 -0.848E+00
